,Date,Opp_costs,Costs
0,2003-06-17,Meetings,5000
1,2005-09-21,Marketing_web,10000
2,2006-01-03,Staff,20000
3,2007-05-21,R&D,10000
4,2005-06-25,Office_utilities,4500
5,2006-02-05,Banking,2400
6,2007-02-07,External_collaborators,2400
7,2002-08-17,Licenses,5000
8,2002-08-16,External_collaborators_transport,5000
9,2005-09-28,Staff_transport,5000
10,2005-09-30,Meetings,5000
11,2006-03-07,Marketing_web,10000
12,2007-12-07,Staff,20000
13,2002-12-07,R&D,10000
14,2003-05-18,Office_utilities,4500
15,2005-12-24,Banking,2400
16,2005-07-24,External_collaborators,2400
17,2006-11-15,Licenses,5000
18,2007-08-10,External_collaborators_transport,5000
19,2004-07-18,Staff_transport,5000
20,2005-04-10,Meetings,5000
21,2003-05-01,Marketing_web,10000
22,2005-10-10,Staff,20000
23,2007-11-16,R&D,10000
24,2005-07-16,Office_utilities,4500
25,2006-09-28,Banking,2400
26,2007-01-14,External_collaborators,2400
27,2008-03-08,Licenses,5000
28,2005-08-20,External_collaborators_transport,5000
29,2005-10-30,Staff_transport,5000
30,2005-02-16,Meetings,5000
31,2007-04-10,Marketing_web,10000
32,2004-06-14,Staff,20000
33,2006-08-26,R&D,10000
34,2007-12-12,Office_utilities,4500
35,2008-02-06,Banking,2400
36,2003-07-14,External_collaborators,2400
37,2005-10-26,Licenses,5000
38,2006-02-12,External_collaborators_transport,5000
39,2006-04-06,Staff_transport,5000
40,2003-10-17,Meetings,5000
41,2005-01-29,Marketing_web,10000
42,2006-03-15,Staff,20000
43,2006-07-09,R&D,10000
44,2004-10-01,Office_utilities,4500
45,2005-01-05,Banking,2400
46,2005-03-10,External_collaborators,2400
47,2007-10-15,Licenses,5000
48,2008-01-29,External_collaborators_transport,5000
